# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  113       4.191957635289e-10       1.276439513330e-13      -4.255202136677e-12       0.000000000000e+00       7.351263024380e-12       1.084662920869e-12      -6.368799002469e-15 
  114       4.237007606966e-10       1.292080483719e-13      -4.339382793514e-12       0.000000000000e+00       7.179321169185e-12       1.065143562797e-12      -6.320208117788e-15 
  115       4.282227384922e-10       1.307272761138e-13      -4.422659121824e-12       0.000000000000e+00       7.012274500406e-12       1.046092309235e-12      -6.269693514656e-15 
  116       4.327603828815e-10       1.321999299657e-13      -4.504954447746e-12       0.000000000000e+00       6.849701124414e-12       1.027457641511e-12      -6.216360251148e-15 
  117       4.373130338445e-10       1.336245139557e-13      -4.586195479382e-12       0.000000000000e+00       6.691538883625e-12       1.009233956475e-12      -6.160158530016e-15 
  118       4.418801401718e-10       1.349996093725e-13      -4.666309699388e-12       0.000000000000e+00       6.537800682241e-12       9.914256783416e-13      -6.101266438498e-15 
  119       4.464610671424e-10       1.363238297654e-13      -4.745224474587e-12       0.000000000000e+00       6.388474482773e-12       9.740346609792e-13      -6.039874335112e-15 
  120       4.510550938360e-10       1.375958223535e-13      -4.822867088281e-12       0.000000000000e+00       6.243522541553e-12       9.570601060787e-13      -5.976185074750e-15 
  121       4.556614104446e-10       1.388142694350e-13      -4.899164772565e-12       0.000000000000e+00       6.102880644240e-12       9.404984813248e-13      -5.910414233787e-15 
  122       4.602791155842e-10       1.399778897961e-13      -4.974044740638e-12       0.000000000000e+00       5.966457341330e-12       9.243434385681e-13      -5.842790335186e-15 
  123       4.649072136065e-10       1.410854401204e-13      -5.047434219121e-12       0.000000000000e+00       5.834133183664e-12       9.085857319961e-13      -5.773555073595e-15 
  124       4.695446119108e-10       1.421357163977e-13      -5.119260480364e-12       0.000000000000e+00       5.705759957935e-12       8.932131363043e-13      -5.702963540456e-15 
  125       4.741901182554e-10       1.431275553335e-13      -5.189450874765e-12       0.000000000000e+00       5.581159922197e-12       8.782103648679e-13      -5.631284449109e-15 
  126       4.788424380697e-10       1.440598357576e-13      -5.257932863079e-12       0.000000000000e+00       5.460125041375e-12       8.635589879126e-13      -5.558800359892e-15 
  127       4.835001717658e-10       1.449314800337e-13      -5.324634048734e-12       0.000000000000e+00       5.342416222770e-12       8.492373506867e-13      -5.485807905247e-15 
  128       4.881618120500e-10       1.457414554686e-13      -5.389482210144e-12       0.000000000000e+00       5.227762551570e-12       8.352204916315e-13      -5.412618014822e-15 
  129       4.928258950439e-10       1.464888160870e-13      -5.452406019298e-12       0.000000000000e+00       5.115919521561e-12       8.214860709481e-13      -5.339510810843e-15 
  130       4.974914780989e-10       1.471728301464e-13      -5.513337218036e-12       0.000000000000e+00       5.006852573487e-12       8.080330654266e-13      -5.266594221727e-15 
  131       5.021577095625e-10       1.477928693391e-13      -5.572208742692e-12       0.000000000000e+00       4.900572340070e-12       7.948649793703e-13      -5.193930211404e-15 
  132       5.068236780953e-10       1.483483713613e-13      -5.628954096072e-12       0.000000000000e+00       4.797077116663e-12       7.819839795981e-13      -5.121578620443e-15 
  133       5.114884110836e-10       1.488388416107e-13      -5.683507384680e-12       0.000000000000e+00       4.696352518906e-12       7.693908566249e-13      -5.049597066788e-15 
  134       5.161508730518e-10       1.492638548848e-13      -5.735803355938e-12       0.000000000000e+00       4.598371140382e-12       7.570849858405e-13      -4.978040846499e-15 
  135       5.208099640748e-10       1.496230570789e-13      -5.785777435418e-12       0.000000000000e+00       4.503092210273e-12       7.450642886893e-13      -4.906962834496e-15 
  136       5.254645181900e-10       1.499161668836e-13      -5.833365764055e-12       0.000000000000e+00       4.410461251018e-12       7.333251938497e-13      -4.836413385296e-15 
  137       5.301133018100e-10       1.501429774836e-13      -5.878505235382e-12       0.000000000000e+00       4.320409735970e-12       7.218625984139e-13      -4.766440233752e-15 
  138       5.347550121348e-10       1.503033582547e-13      -5.921133532746e-12       0.000000000000e+00       4.232854747049e-12       7.106698290672e-13      -4.697088395800e-15 
  139       5.393882755640e-10       1.503972564625e-13      -5.961189166536e-12       0.000000000000e+00       4.147698632401e-12       6.997386032675e-13      -4.628400069193e-15 
  140       5.440116461093e-10       1.504246989603e-13      -5.998611511405e-12       0.000000000000e+00       4.064828664054e-12       6.890589904248e-13      -4.560414534246e-15 
  141       5.486236038069e-10       1.503857938866e-13      -6.033340843495e-12       0.000000000000e+00       3.984116695576e-12       6.786193730808e-13      -4.493168054575e-15 
  142       5.532225531295e-10       1.502807323634e-13      -6.065318377662e-12       0.000000000000e+00       3.905418819727e-12       6.684064080882e-13      -4.426693777837e-15 
  143       5.578068213991e-10       1.501097901945e-13      -6.094486304698e-12       0.000000000000e+00       3.828575026119e-12       6.584049877907e-13      -4.361021636469e-15 
  144       5.623747946762e-10       1.498733422837e-13      -6.120788405655e-12       0.000000000000e+00       3.753442749955e-12       6.486014198927e-13      -4.296170122300e-15 
  145       5.669253438792e-10       1.495719039098e-13      -6.144171884491e-12       0.000000000000e+00       3.680001968599e-12       6.389934023439e-13      -4.232120905970e-15 
  146       5.714574378526e-10       1.492060967676e-13      -6.164585787700e-12       0.000000000000e+00       3.608259863576e-12       6.295809626271e-13      -4.168841514988e-15 
  147       5.759700088708e-10       1.487766383681e-13      -6.181980483618e-12       0.000000000000e+00       3.538217713602e-12       6.203633072283e-13      -4.106293090512e-15 
  148       5.804619518411e-10       1.482843438094e-13      -6.196307702966e-12       0.000000000000e+00       3.469870747017e-12       6.113388013142e-13      -4.044430241390e-15 
  149       5.849321235061e-10       1.477301275478e-13      -6.207520579389e-12       0.000000000000e+00       3.403207994214e-12       6.025049484103e-13      -3.983200898195e-15 
  150       5.893793416457e-10       1.471150051686e-13      -6.215573689994e-12       0.000000000000e+00       3.338212140079e-12       5.938583700784e-13      -3.922546167266e-15 
  151       5.938023842801e-10       1.464400951578e-13      -6.220423095896e-12       0.000000000000e+00       3.274859376417e-12       5.853947855942e-13      -3.862400184748e-15 
  152       5.981999888716e-10       1.457066206726e-13      -6.222026382755e-12       0.000000000000e+00       3.213119254390e-12       5.771089916255e-13      -3.802689970628e-15 
  153       6.025708515277e-10       1.449159113128e-13      -6.220342701317e-12       0.000000000000e+00       3.152954536944e-12       5.689948419095e-13      -3.743335282773e-15 
  154       6.069136262030e-10       1.440694048918e-13      -6.215332807957e-12       0.000000000000e+00       3.094321051247e-12       5.610452269304e-13      -3.684248470973e-15 
  155       6.112269239020e-10       1.431686492076e-13      -6.206959105216e-12       0.000000000000e+00       3.037167541121e-12       5.532520535979e-13      -3.625334330977e-15 
  156       6.155093118814e-10       1.422153038142e-13      -6.195185682345e-12       0.000000000000e+00       2.981435519470e-12       5.456062249240e-13      -3.566489958528e-15 
  157       6.197593128524e-10       1.412111417920e-13      -6.179978355843e-12       0.000000000000e+00       2.927059120719e-12       5.380976197014e-13      -3.507604603410e-15 
  158       6.239754041831e-10       1.401580515197e-13      -6.161304710000e-12       0.000000000000e+00       2.873964953244e-12       5.307150721809e-13      -3.448559523479e-15 
  159       6.281560171016e-10       1.390580384448e-13      -6.139134137436e-12       0.000000000000e+00       2.822071951802e-12       5.234463517492e-13      -3.389227838705e-15 
  160       6.322995358973e-10       1.379132268551e-13      -6.113437879642e-12       0.000000000000e+00       2.771291229969e-12       5.162781426068e-13      -3.329474385210e-15 
  161       6.364044074884e-10       1.367258131675e-13      -6.084188913395e-12       0.000000000000e+00       2.721544292264e-12       5.091990475741e-13      -3.269190126182e-15 
  162       6.404694826833e-10       1.354979174367e-13      -6.051361513599e-12       0.000000000000e+00       2.672819790233e-12       5.022089406904e-13      -3.208399110751e-15 
  163       6.444937037141e-10       1.342317220388e-13      -6.014931729085e-12       0.000000000000e+00       2.625121526799e-12       4.953104067014e-13      -3.147160738853e-15 
  164       6.484759962987e-10       1.329295205078e-13      -5.974877572772e-12       0.000000000000e+00       2.578450485390e-12       4.885057849603e-13      -3.085536067987e-15 
  165       6.524152693512e-10       1.315937190837e-13      -5.931179061504e-12       0.000000000000e+00       2.532804766841e-12       4.817971630188e-13      -3.023587826248e-15 
  166       6.563104146925e-10       1.302268382608e-13      -5.883818255875e-12       0.000000000000e+00       2.488179526298e-12       4.751863702187e-13      -2.961380425359e-15 
  167       6.601603067599e-10       1.288315143349e-13      -5.832779300065e-12       0.000000000000e+00       2.444566910121e-12       4.686749712831e-13      -2.898979973700e-15 
  168       6.639638023177e-10       1.274105009524e-13      -5.778048461672e-12       0.000000000000e+00       2.401955992787e-12       4.622642599079e-13      -2.836454289337e-15 
  169       6.677197401674e-10       1.259666706573e-13      -5.719614171540e-12       0.000000000000e+00       2.360332713797e-12       4.559552523531e-13      -2.773872913055e-15 
  170       6.714269408576e-10       1.245030164401e-13      -5.657467063592e-12       0.000000000000e+00       2.319679814574e-12       4.497486810340e-13      -2.711307121387e-15 
