# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  155       6.293121762643e-10       1.464562760549e-13      -6.358157258999e-12       0.000000000000e+00       2.914187063217e-12       5.670468060204e-13      -3.598567407542e-15 
  156       6.337125969602e-10       1.454711049095e-13      -6.344827213029e-12       0.000000000000e+00       2.860515247552e-12       5.594734923499e-13      -3.552500416634e-15 
  157       6.380792332457e-10       1.444344442221e-13      -6.327949786403e-12       0.000000000000e+00       2.808152343520e-12       5.520394549600e-13      -3.506237162176e-15 
  158       6.424105226235e-10       1.433482759981e-13      -6.307491804733e-12       0.000000000000e+00       2.757027401175e-12       5.447268546134e-13      -3.459394704210e-15 
  159       6.467048557755e-10       1.422147035824e-13      -6.283421959362e-12       0.000000000000e+00       2.707062064089e-12       5.375164453705e-13      -3.411569135475e-15 
  160       6.509605757535e-10       1.410359534893e-13      -6.255710849089e-12       0.000000000000e+00       2.658170426974e-12       5.303875488649e-13      -3.362335237448e-15 
  161       6.551760900099e-10       1.398143267676e-13      -6.224330883428e-12       0.000000000000e+00       2.610276622493e-12       5.233225410621e-13      -3.311338925158e-15 
  162       6.593502193202e-10       1.385520444170e-13      -6.189255895216e-12       0.000000000000e+00       2.563369628368e-12       5.163208124323e-13      -3.258584490779e-15 
  163       6.634818783145e-10       1.372513917372e-13      -6.150461573314e-12       0.000000000000e+00       2.517453057470e-12       5.093859988964e-13      -3.204172222649e-15 
  164       6.675699651261e-10       1.359147691502e-13      -6.107925638739e-12       0.000000000000e+00       2.472527804214e-12       5.025215754530e-13      -3.148207983420e-15 
  165       6.716133611026e-10       1.345446937993e-13      -6.061627885740e-12       0.000000000000e+00       2.428591983757e-12       4.957308512148e-13      -3.090803293005e-15 
  166       6.756109305156e-10       1.331438011482e-13      -6.011550222881e-12       0.000000000000e+00       2.385640871185e-12       4.890169644453e-13      -3.032075411535e-15 
  167       6.795615202714e-10       1.317148465792e-13      -5.957676714119e-12       0.000000000000e+00       2.343666840708e-12       4.823828775961e-13      -2.972147422304e-15 
  168       6.834639596214e-10       1.302607069921e-13      -5.899993619887e-12       0.000000000000e+00       2.302659304850e-12       4.758313723430e-13      -2.911148314728e-15 
  169       6.873170598724e-10       1.287843824032e-13      -5.838489438172e-12       0.000000000000e+00       2.262604653642e-12       4.693650446235e-13      -2.849213067287e-15 
  170       6.911196140973e-10       1.272889975435e-13      -5.773154945598e-12       0.000000000000e+00       2.223486193814e-12       4.629862996728e-13      -2.786482730484e-15 
