# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   89       3.271631068268e-10       8.365017648081e-14      -2.227257928575e-12       3.121127573484e-16       1.322009675153e-11       1.848599150685e-12      -7.909132280851e-15 
   90       3.311837063345e-10       8.578966939594e-14      -2.313577483938e-12       3.192189861072e-16       1.285012043520e-11       1.805919564196e-12      -7.874284945387e-15 
   91       3.352357630310e-10       8.792894289173e-14      -2.400658099093e-12       3.264089825474e-16       1.249363386712e-11       1.764692243492e-12      -7.837078931672e-15 
   92       3.393181468680e-10       9.006603773068e-14      -2.488436429433e-12       3.336831288960e-16       1.214931959140e-11       1.724777830929e-12      -7.795383441677e-15 
   93       3.434297791999e-10       9.219898073374e-14      -2.576848123081e-12       3.410418332022e-16       1.181593720366e-11       1.686044753042e-12      -7.747376419193e-15 
   94       3.475707567328e-10       9.432588813593e-14      -2.665830242235e-12       3.484855485341e-16       1.149333164224e-11       1.648478990810e-12      -7.693133029872e-15 
   95       3.517413751903e-10       9.644487786138e-14      -2.755319220024e-12       3.560147575499e-16       1.118156231628e-11       1.612089211084e-12      -7.633267206938e-15 
   96       3.559417792547e-10       9.855403877598e-14      -2.845250148608e-12       3.636299673931e-16       1.088059257399e-11       1.576872918474e-12      -7.568451931677e-15 
   97       3.601719554686e-10       1.006514311420e-13      -2.935556796300e-12       3.713317102426e-16       1.059028602402e-11       1.542816023181e-12      -7.499420725827e-15 
   98       3.644317251360e-10       1.027350870728e-13      -3.026171624686e-12       3.791205438629e-16       1.031040285682e-11       1.509892408849e-12      -7.426969143966e-15 
   99       3.687207372237e-10       1.048030109870e-13      -3.117025805751e-12       3.869970521536e-16       1.004059616598e-11       1.478063500399e-12      -7.351956265906e-15 
  100       3.730384612628e-10       1.068531800639e-13      -3.208049238997e-12       3.949618456997e-16       9.780408269590e-12       1.447277831875e-12      -7.275306189079e-15 
  101       3.773841802496e-10       1.088835446972e-13      -3.299170568569e-12       4.030155623210e-16       9.529267031595e-12       1.417470614286e-12      -7.198009520930e-15 
  102       3.817569835473e-10       1.108920289504e-13      -3.390317200371e-12       4.111588676227e-16       9.286482183136e-12       1.388563303446e-12      -7.121124871304e-15 
  103       3.861557597874e-10       1.128765310107e-13      -3.481415319197e-12       4.193924555448e-16       9.051241643908e-12       1.360463167819e-12      -7.045780344842e-15 
  104       3.905794243469e-10       1.148349760307e-13      -3.572390645015e-12       4.277170304360e-16       8.822795463669e-12       1.333085035475e-12      -6.972945586616e-15 
  105       3.950276520684e-10       1.167654818018e-13      -3.663170781336e-12       4.361332493333e-16       8.601043868700e-12       1.306420811467e-12      -6.902709634776e-15 
  106       3.995002307467e-10       1.186662164127e-13      -3.753683217477e-12       4.446417728743e-16       8.386022163594e-12       1.280478589289e-12      -6.834907844438e-15 
  107       4.039968309251e-10       1.205353488786e-13      -3.843854642656e-12       4.532432834194e-16       8.177718607292e-12       1.255261124184e-12      -6.769341606619e-15 
  108       4.085170013741e-10       1.223710501720e-13      -3.933610971234e-12       4.619384853989e-16       7.976072796189e-12       1.230765644717e-12      -6.705777319238e-15 
  109       4.130601645710e-10       1.241714942528e-13      -4.022877367967e-12       4.707281056599e-16       7.780974047253e-12       1.206983664336e-12      -6.643945358109e-15 
  110       4.176256121786e-10       1.259348590987e-13      -4.111578273243e-12       4.796128938130e-16       7.592259781129e-12       1.183900792945e-12      -6.583539047946e-15 
  111       4.222125005244e-10       1.276593277351e-13      -4.199637428333e-12       4.885936225792e-16       7.409713905256e-12       1.161496548475e-12      -6.524213633350e-15 
  112       4.268198460798e-10       1.293430892660e-13      -4.286977900629e-12       4.976710881370e-16       7.233065196978e-12       1.139744168446e-12      -6.465585249814e-15 
  113       4.314465209391e-10       1.309843399040e-13      -4.373522108897e-12       5.068461104690e-16       7.061985686659e-12       1.118610421541e-12      -6.407229894719e-15 
  114       4.360912482984e-10       1.325812840002e-13      -4.459191848513e-12       5.161195337092e-16       6.896089040788e-12       1.098055419172e-12      -6.348682398329e-15 
  115       4.407525979351e-10       1.341321350753e-13      -4.543908316716e-12       5.254922264892e-16       6.734928945097e-12       1.078032427050e-12      -6.289435394788e-15 
  116       4.454291877300e-10       1.356351654767e-13      -4.627593030555e-12       5.349650561721e-16       6.578096862712e-12       1.058497990666e-12      -6.229038345831e-15 
