# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_idr            15:(.)rho_idm_dr         16:(.)rho_crit           17:(.)rho_g_twin         18:(.)rho_ur_twin        19:(.)rho_b_twin         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       7.166136808825e+13       1.438002126551e-25       6.319169187918e-09       1.134060847667e+22       1.382630059168e+04       1.929393892487e-10       9.908116159989e+17       3.648279566606e-09       7.256370549422e+43       9.164911874726e+32       4.917948840153e+33       4.199750174474e-08       5.016435447747e+43       5.881340643481e+42       5.530965029110e+31       1.286094006211e+44       5.881340643481e+42       0.000000000000e+00       5.530965029110e+31       1.286094006211e+44       4.286980020506e+43      -2.589607044670e+52       9.654211875914e-06       1.200165551394e+00 
       7.089520657347e+13       1.469250929284e-25       6.386471795850e-09       1.109941044908e+22       1.382630059168e+04       1.950244771111e-10       9.802184365939e+17       3.687706370434e-09       6.950988357200e+43       8.874085834999e+32       4.761889774412e+33       4.199750174474e-08       4.805320256793e+43       5.633826171574e+42       5.355453409655e+31       1.231969123172e+44       5.633826171574e+42       0.000000000000e+00       5.355453409655e+31       1.231969123172e+44       4.106563743717e+43      -2.454102817940e+52       9.778756573195e-06       1.184879941840e+00 
       7.013723641037e+13       1.501178790025e-25       6.455593393184e-09       1.086334234804e+22       1.382630059168e+04       1.971320984303e-10       9.697385132792e+17       3.727559258050e-09       6.658458083535e+43       8.592488447607e+32       4.610782861041e+33       4.199750174474e-08       4.603089785739e+43       5.396728272559e+42       5.185511221484e+31       1.180122069708e+44       5.396728272559e+42       0.000000000000e+00       5.185511221484e+31       1.180122069708e+44       3.933740232177e+43      -2.325689008846e+52       9.903301270479e-06       1.169978798337e+00 
       6.938737002177e+13       1.533800466276e-25       6.526533979923e-09       1.063229506758e+22       1.382630059168e+04       1.992624967244e-10       9.593706351869e+17       3.767842834171e-09       6.378238859265e+43       8.319826863865e+32       4.464470955607e+33       4.199750174474e-08       4.409370123796e+43       5.169608568068e+42       5.020961732335e+31       1.130456984040e+44       5.169608568068e+42       0.000000000000e+00       5.020961732335e+31       1.130456984040e+44       3.768189946623e+43      -2.203994602967e+52       1.002784596777e-05       1.155447795829e+00 
       6.864552076686e+13       1.567131033917e-25       6.597474566661e-09       1.040616182223e+22       1.382630059168e+04       2.014159181432e-10       9.491136043948e+17       3.808561753176e-09       6.109812577545e+43       8.055817527920e+32       4.322801900275e+33       4.199750174474e-08       4.223803096099e+43       4.952047128754e+42       4.861633818112e+31       1.082882038704e+44       4.952047128754e+42       0.000000000000e+00       4.861633818112e+31       1.082882038704e+44       3.609606795506e+43      -2.088667999647e+52       1.015239066506e-05       1.141273312160e+00 
       6.791160293113e+13       1.601185898922e-25       6.668415153399e-09       1.018483809771e+22       1.382630059168e+04       2.035926114967e-10       9.389662357883e+17       3.849720719850e-09       5.852682935902e+43       7.800185881873e+32       4.185628365562e+33       4.199750174474e-08       4.046045601464e+43       4.743641697873e+42       4.707361784923e+31       1.037309270766e+44       4.743641697873e+42       0.000000000000e+00       4.707361784923e+31       1.037309270766e+44       3.457697569051e+43      -1.979375996146e+52       1.027693536235e-05       1.127442385544e+00 
       6.718553171646e+13       1.635980799643e-25       6.739355740137e-09       9.968221602606e+21       1.382630059168e+04       2.057928282837e-10       9.289273569234e+17       3.891324489723e-09       5.606374518605e+43       7.552666080245e+32       4.052807697129e+33       4.199750174474e-08       3.875768978021e+43       4.544006947537e+42       4.557985196767e+31       9.936544191865e+43       4.544006947537e+42       0.000000000000e+00       4.557985196767e+31       9.936544191865e+43       3.312181397127e+43      -1.875802824949e+52       1.040148005965e-05       1.113942674972e+00 
       6.646722323137e+13       1.671531818540e-25       6.812115316279e-09       9.756212221084e+21       1.382630059168e+04       2.080168227210e-10       9.189958078910e+17       3.933377869802e-09       5.370431917652e+43       7.313000713516e+32       3.924201767422e+33       4.199750174474e-08       3.712658395534e+43       4.352773766264e+42       4.413348708685e+31       9.518367690282e+43       4.352773766264e+42       0.000000000000e+00       4.413348708685e+31       9.518367690282e+43       3.172789229937e+43      -1.777649241446e+52       1.052602475695e-05       1.100762423537e+00 
       6.575659448129e+13       1.707855385989e-25       6.886693881825e-09       9.548711966628e+21       1.382630059168e+04       2.102648517725e-10       9.091704411833e+17       3.975885718984e-09       5.144418890750e+43       7.080940540422e+32       3.799676832026e+33       4.199750174474e-08       3.556412273305e+43       4.169588576524e+42       4.273301905211e+31       9.117790022163e+43       4.169588576524e+42       0.000000000000e+00       4.273301905211e+31       9.117790022163e+43       3.039263340569e+43      -1.684631659353e+52       1.065056945426e-05       1.087890424244e+00 
       6.505356335897e+13       1.744968290224e-25       6.961272447370e-09       9.345624936752e+21       1.382630059168e+04       2.125371751795e-10       8.994501215608e+17       4.018852948704e-09       4.927917554735e+43       6.856244228764e+32       3.679103390578e+33       4.199750174474e-08       3.406741722570e+43       3.994112680987e+42       4.137699143944e+31       8.734070545845e+43       3.994112680987e+42       0.000000000000e+00       4.137699143944e+31       8.734070545845e+43       2.911356848468e+43      -1.596481331371e+52       1.077511415157e-05       1.075315988248e+00 
