#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.294769676511e+00       1.647279076471e-05      -1.204703209842e+00       2.164301763638e-04       4.608829214309e-08       1.152207303577e-07       1.380786977887e-13       2.304414607155e-08      -9.035274073811e-01       2.164301763958e-04       6.104018585201e-01       6.990876872005e-01      -1.204703196071e+00       2.163776959462e-04       2.107876188379e-04      -1.204703196669e+00       2.163821109637e-04      -9.035273975107e-01       2.163821561433e-04      -9.035274282091e-01       2.165359551682e-04 
       7.339251623253e+00       1.657456602554e-05      -1.205131147155e+00       2.178052630075e-04       4.695587447969e-08       1.173896861992e-07       1.424216353763e-13       2.347793723985e-08      -9.038483603661e-01       2.178052630472e-04       6.103137987020e-01       6.989839221462e-01      -1.205131130243e+00       2.177518103963e-04       2.133620864687e-04      -1.205131131132e+00       2.177572157736e-04      -9.038483483600e-01       2.177572622451e-04      -9.038483859423e-01       2.179129763240e-04 
       7.383733569995e+00       1.667635740215e-05      -1.205550943616e+00       2.191795009087e-04       4.783418135630e-08       1.195854533907e-07       1.468731595045e-13       2.391709067815e-08      -9.041632077123e-01       2.191795009563e-04       6.102275023037e-01       6.988822126873e-01      -1.205550923505e+00       2.191250640913e-04       2.159528376495e-04      -1.205550924745e+00       2.191314720844e-04      -9.041631935715e-01       2.191315199023e-04      -9.041632381233e-01       2.192891720206e-04 
       7.428215516736e+00       1.677816484860e-05      -1.205962733706e+00       2.205528865339e-04       4.872327533705e-08       1.218081883426e-07       1.514352897150e-13       2.436163766852e-08      -9.044720502799e-01       2.205528865897e-04       6.101429466882e-01       6.987825251912e-01      -1.205962710337e+00       2.204974534190e-04       2.185598620222e-04      -1.205962711987e+00       2.205048763712e-04      -9.044720340052e-01       2.205049255912e-04      -9.044720856132e-01       2.206645388599e-04 
       7.472697463478e+00       1.687998841110e-05      -1.206366857289e+00       2.219254569463e-04       4.962322851771e-08       1.240580712943e-07       1.561101021188e-13       2.481161425885e-08      -9.047751429671e-01       2.219254570106e-04       6.100600639691e-01       6.986847746795e-01      -1.206366830602e+00       2.218690153638e-04       2.211831494473e-04      -1.206366832723e+00       2.218774656997e-04      -9.047751245595e-01       2.218775163150e-04      -9.047751833114e-01       2.220391140406e-04 
       7.517179410220e+00       1.698182805084e-05      -1.206763444673e+00       2.232972098559e-04       5.053410392549e-08       1.263352598137e-07       1.608996689945e-13       2.526705196274e-08      -9.050725835049e-01       2.232972099289e-04       6.099788318397e-01       6.985889285631e-01      -1.206763414608e+00       2.232397475570e-04       2.238226899410e-04      -1.206763417261e+00       2.232492377739e-04      -9.050725629652e-01       2.232492897952e-04      -9.050726289499e-01       2.234128954083e-04 
       7.588125023697e+00       1.714428850813e-05      -1.207381012574e+00       2.254834259473e-04       5.200966048717e-08       1.300241512179e-07       1.687814272386e-13       2.600483024359e-08      -9.055357594306e-01       2.254834260349e-04       6.098525632809e-01       6.984398430947e-01      -1.207380976996e+00       2.254243101343e-04       2.280661828937e-04      -1.207380980626e+00       2.254354849633e-04      -9.055357354924e-01       2.254355393794e-04      -9.055358131992e-01       2.256023961076e-04 
       7.659070637174e+00       1.730678990806e-05      -1.207980922479e+00       2.276676856426e-04       5.351345126329e-08       1.337836281582e-07       1.769692081411e-13       2.675672563165e-08      -9.059856918594e-01       2.276676857456e-04       6.097301982580e-01       6.982952238029e-01      -1.207980881229e+00       2.276068846376e-04       2.323509567806e-04      -1.207980885997e+00       2.276197764528e-04      -9.059856645251e-01       2.276198334506e-04      -9.059857541867e-01       2.277900015661e-04 
       7.730016250650e+00       1.746933225221e-05      -1.208563968339e+00       2.298500463191e-04       5.504574974814e-08       1.376143743703e-07       1.854718928786e-13       2.752287487407e-08      -9.064229762546e-01       2.298500464383e-04       6.096115829674e-01       6.981548721542e-01      -1.208563921257e+00       2.297875281248e-04       2.366769739670e-04      -1.208563927327e+00       2.298021696201e-04      -9.064229455266e-01       2.298022290894e-04      -9.064230473801e-01       2.299757697092e-04 
       7.800961864127e+00       1.763191553726e-05      -1.209130868989e+00       2.320305563190e-04       5.660682799857e-08       1.415170699964e-07       1.942985306590e-13       2.830341399928e-08      -9.068481517418e-01       2.320305564551e-04       6.094965789664e-01       6.980186083958e-01      -1.209130815911e+00       2.319662886188e-04       2.410441978501e-04      -1.209130823449e+00       2.319827127310e-04      -9.068481176227e-01       2.319827745661e-04      -9.068482319096e-01       2.321597494273e-04 
